total_hardening_effort,one_implementation,two_implementations,four_implementations
4.95,0.010280502993590466,0.001868772080274084,0.00344615099005431
5.0,0.010266822701163785,0.0018468422695667927,0.00338384828803711
5.05,0.010253809604471753,0.0018255856790595282,0.003323024670734054
5.1,0.01024143116399442,0.0018049792603269013,0.0032636419437189423
5.15,0.01022965642718295,0.0017850008474381738,0.0032056629376269585
5.2,0.010218455951062128,0.0017656291198823752,0.0031490514809150126
5.25,0.010207801728607583,0.0017468435671543047,0.0030937723732867273
5.3,0.010197667118713644,0.0017286244549240609,0.0030397913597701477
5.35,0.010188026779576696,0.0017109527927164061,0.002987075105436139
5.4,0.010178856605327462,0.0016938103030298035,0.0029355911707453913
5.45,0.010170133665753794,0.0016771793918282697,0.0028853079875119404
5.5,0.010161836148963177,0.0016610431203423948,0.0028361948354710762
5.55,0.010153943306841655,0.0016453851781188758,0.002788221819439573
5.6,0.010146435403172725,0.0016301898572608161,0.0027413598470561527
5.65,0.01013929366428652,0.001615442027803763,0.002695580607090192
5.7,0.010132500232115862,0.0016011271141750658,0.002650856548306711
5.75,0.010126038119541783,0.0015872310726866299,0.0026071608588757937
5.8,0.010119891167916882,0.0015737403700134987,0.002564467446314651
5.85,0.010114044006660295,0.0015606419626129407,0.002522750917950668
5.9,0.010108482014823228,0.0015479232770408756,0.002481986561893877
5.95,0.010103191284528976,0.0015355721911244936,0.0024421503285074263
6.0,0.010098158586195989,0.001523577015951878,0.0024032188123647284
6.05,0.010093371335457013,0.0015119264786412844,0.002365169234682166
6.1,0.010088817561691638,0.0015006097058544918,0.0023279794262162957
6.15,0.010084485878093494,0.001489616208020304,0.002291627810614726
6.2,0.010080365453197312,0.0014789358642359025,0.002256093388209952
6.25,0.010076445983794617,0.0014685589078152338,0.0022213557202455953
6.3,0.010072717669170346,0.0014584759124550966,0.002187394913524698
6.35,0.010069171186595942,0.001448677778990942,0.00215419160546984
6.4,0.01006579766801769,0.001439155722715736,0.0021217269495850677
6.45,0.010062588677881954,0.0014299012612364547,0.0020899826013097648
6.5,0.010059536192041913,0.0014209062028440033,0.002058940704254767
6.55,0.010056632577692992,0.0014121626353734516,0.002028583876811253
6.6,0.010053870574286897,0.0014036629155325798,0.0019988951991230406
6.65,0.010051243275376447,0.0013953996586777424,0.001969858200413172
6.7,0.01004874411134587,0.0013873657290170407,0.0019414568466558076
6.75,0.010046366832983331,0.0013795542302217276,0.0019136755285846252
6.8,0.010044105495854655,0.0013719584964276446,0.001886499050029138
6.85,0.010041954445439141,0.0013645720836093559,0.0018599126165704833
6.9,0.010039908302990322,0.0013573887613104268,0.0018339018245084177
6.95,0.010037961952086283,0.0013504025047140742,0.0018084526501314627
7.0,0.010036110525835959,0.0013436074870391463,0.0017835514392822733
7.05,0.010034349394709357,0.0013369980722470727,0.0017591848972105032
7.1,0.01003267415496133,0.0013305688080461086,0.0017353400787056214
7.15,0.010031080617619913,0.001324314419179802,0.0017120043785022708
7.2,0.010029564798011717,0.0013182298009872437,0.0016891655219509513
7.25,0.010028122905798166,0.0013123100132232017,0.0016668115559469808
7.3,0.010026751335497677,0.0013065502741268131,0.0016449308401108365
7.35,0.01002544665747008,0.0013009459547280138,0.001623512038213143
7.4,0.010024205609340732,0.0012954925733813804,0.001602544109837743
7.45,0.010023025087842873,0.001290185790517539,0.0015820163022764273
7.5,0.010021902141057854,0.0012850214036027338,0.0015619181426490783
7.55,0.010020833961033798,0.0012799953422975956,0.001542239430243107
7.6,0.010019817876764248,0.001275103663806531,0.0015229702290662334
7.65,0.010018851347509282,0.0012703425484095717,0.0015041008606067954
7.7,0.010017931956442317,0.0012657082951688743,0.0014856218967959265
7.75,0.010017057404606797,0.001261197317802421,0.0014675241531660614
7.8,0.0100162255051676,0.0012568061407178107,0.001449798682200407
7.85,0.01001543417794281,0.0012525313951993466,0.0014324367668681088
7.9,0.01001468144420218,0.0012483698157419365,0.0014154299143400106
7.95,0.010013965421719279,0.0012443182365256124,0.001398769849880013
8.0,0.010013284320064939,0.0012403735880247505,0.0013824485109071806
8.05,0.010012636436130255,0.0012365328937463498,0.001366458041223866
8.1,0.010012020149867924,0.001232793267091958,0.0013507907854052453
8.15,0.010011433920241277,0.0012291519083381058,0.0013354392833457684
8.2,0.010010876281370897,0.0012256061017303082,0.0013203962649581701
8.25,0.010010345838869146,0.0012221532126859324,0.001305654645020773
8.3,0.010009841266353474,0.0012187906851014376,0.001291207518168954
8.35,0.010009361302129774,0.0012155160387596795,0.001277048154026733
8.4,0.010008904746037483,0.0012123268668331768,0.0012631699924745654
8.45,0.01000847045644856,0.0012092208334794103,0.001249566639049524
8.5,0.010008057347412821,0.0012061956715244029,0.0012362318604741387
8.55,0.010007664385942501,0.0012032491802309864,0.001223159580310306
8.6,0.010007290589429237,0.001200379223148326,0.0012103438747347228
8.65,0.010006935023187044,0.0011975837260394216,0.001197778968432433
8.7,0.01000659679811511,0.001194860674883445,0.0011854592306051776
8.75,0.010006275068474584,0.0011922081139499109,0.0011733791710912698
8.8,0.01000596902977378,0.0011896241439418147,0.0011615334365938895
8.85,0.010005677916756541,0.0011871069202049815,0.0011499168070147033
8.9,0.010005401001488688,0.0011846546510010073,0.001138524191889847
8.95,0.010005137591537813,0.001182265595841271,0.001127350626925376
9.0,0.010004887028241833,0.0011799380638796123,0.0011163912706293555
9.05,0.010004648685061998,0.0011776704123613734,0.001105641401037869
9.1,0.01000442196601621,0.0011754610451265967,0.0010950964125322736
9.15,0.010004206304188759,0.00117330841116527,0.0010847518127451163
9.2,0.01000400116031275,0.0011712110032225979,0.0010746032195521995
9.25,0.010003806021421632,0.0011691673564523616,0.0010646463581483483
9.3,0.010003620399566537,0.001167176047116519,0.0010548770582045086
9.35,0.01000344383059614,0.001165235691329264,0.0010452912511038583
9.4,0.010003275872996044,0.0011633449438438483,0.0010358849672546936
9.45,0.010003116106784763,0.0011615024968805372,0.0010266543334779123
9.5,0.010002964132463554,0.0011597070789941368,0.001017595570466962
9.55,0.01000281957001745,0.0011579574539795961,0.0010087049903182116
9.6,0.010002682057965038,0.0011562524198142539,0.000999978994129728
9.65,0.010002551252454561,0.001154590807635354,0.0009914140696665223
9.7,0.010002426826404108,0.0011529714807515113,0.0009830067890903768
9.75,0.010002308468683743,0.0011513933336868682,0.0009747538067524113
9.8,0.010002195883337514,0.0011498552912567266,0.0009666518570466118
9.85,0.010002088788843415,0.0011483563076734999,0.0009586977523225834
9.9,0.010001986917409424,0.0011468953656818628,0.0009508883808558469
9.95,0.010001890014303898,0.001145471475722039,0.0009432207048740448
10.0,0.010001797837218595,0.0011440836751201947,0.0009356917586374633
10.05,0.01000171015566279,0.0011427310273049586,0.0009282986465723337
10.1,0.010001626750386922,0.0011414126210491193,0.0009210385414554097
10.15,0.010001547412834358,0.0011401275697356015,0.0009139086826483636
10.2,0.01000147194461989,0.0011388750106468407,0.0009069063743805942
10.25,0.010001400157033677,0.0011376541042767297,0.0009000289840790595
10.3,0.010001331870569355,0.001136464033664332,0.0008932739407438169
10.35,0.010001266914475197,0.0011353040037485873,0.0008866387333679569
10.4,0.010001205126327134,0.0011341732407432786,0.0008801209094006861
10.45,0.01000114635162261,0.0011330709915315373,0.0008737180732523276
10.5,0.01000109044339425,0.0011319965230792168,0.0008674278848400551
10.55,0.010001037261842365,0.0011309491218664649,0.0008612480581732071
10.6,0.010000986673985367,0.001129928093336876,0.000855176359977059
10.65,0.01000093855332727,0.0011289327613636083,0.0008492106083539663
10.7,0.010000892779541363,0.0011279624677318844,0.0008433486714808267
10.75,0.010000849238169338,0.0011270165716373184,0.0008375884663418217
10.8,0.010000807820335083,0.0011260944491995255,0.0008319279574954602
10.85,0.010000768422472441,0.0011251954929904987,0.000826365155874938
10.9,0.010000730946066233,0.001124319111577252,0.0008208981176208843
10.95,0.010000695297405925,0.0011234647290782477,0.0008155249429455793
11.0,0.010000661387351294,0.001122631784733153,0.0008102437750277521
11.05,0.010000629131109544,0.0011218197324854736,0.0008050527989371083
11.1,0.010000598448023265,0.0011210280405776376,0.0007999502405877355
11.15,0.010000569261368766,0.0011202561911581232,0.0007949343657195904
11.2,0.0100005414981642,0.0011195036799002255,0.0007900034789072693
11.25,0.010000515088987102,0.0011187700156320853,0.0007851559225952958
11.3,0.010000489967800766,0.001118054719977611,0.0007803900761591873
11.35,0.010000466071789149,0.001117357327007937,0.0007757043549915738
11.4,0.010000443341199768,0.0011166773829030794,0.0007710972096126661
11.45,0.010000421719194312,0.001116014445623456,0.0007665671248043982
11.5,0.010000401151706508,0.0011153680845909593,0.000762112618767572
11.55,0.010000381587306918,0.0011147378803792695,0.0007577322423013733
11.6,0.010000362977074356,0.0011141234244131186,0.0007534245780046238
11.65,0.010000345274473545,0.0011135243186762166,0.0007491882394981708
11.7,0.010000328435238766,0.0011129401754275655,0.0007450218706678208
11.75,0.010000312417263157,0.001112370616925905,0.0007409241449272485
11.8,0.010000297180493436,0.0011118152751620205,0.000736893764500323
11.85,0.010000282686829745,0.0011112737915986777,0.0007329294597223125
11.9,0.010000268900030373,0.0011107458169179443,0.0007290299883594436
11.95,0.010000255785621139,0.0011102310107756652,0.0007251941349463083
12.0,0.010000243310809193,0.0011097290415628745,0.00072142071014062
12.05,0.010000231444401002,0.001109239586173928,0.0007177085500948399
12.1,0.01000022015672437,0.0011087623297811506,0.0007140565158442122
12.15,0.010000209419554222,0.0011082969656157984,0.0007104634927107463
12.2,0.010000199206042042,0.0011078431947551442,0.0007069283897227124
12.25,0.010000189490648728,0.0011074007259155,0.0007034501390492218
12.3,0.010000180249080738,0.001106969275250994,0.0007000276954494751
12.35,0.010000171458229337,0.0011065485661579356,0.000696660035736276
12.4,0.010000163096112819,0.0011061383290845899,0.000693346158253418
12.45,0.010000155141821536,0.0011057383013462112,0.0006900850823665651
12.5,0.010000147575465615,0.0011053482269451694,0.0006868758479672554
12.55,0.010000140378125228,0.0011049678563960204,0.0006837175149896678
12.6,0.010000133531803273,0.001104596946555378,0.000680609162939804
12.65,0.010000127019380379,0.0011042352604564386,0.0006775498904367463
12.7,0.0100001208245721,0.0011038825671480276,0.0006745388147656626
12.75,0.010000114931888184,0.0011035386415380298,0.0006715750714422357
12.8,0.010000109326593853,0.001103203264241079,0.0006686578137882107
12.85,0.010000103994672953,0.0011028762214303814,0.000665786212517753
12.9,0.010000098922792905,0.0011025573046935528,0.0006629594553343278
12.95,0.010000094098271364,0.0011022463108923497,0.0006601767465378151
13.0,0.010000089509044517,0.0011019430420261891,0.0006574373066415782
13.05,0.010000085143636903,0.001101647305099341,0.0006547403719992259
13.1,0.010000080991132731,0.0011013589119916911,0.0006520851944407954
13.15,0.010000077041148579,0.0011010776793329692,0.0006494710409181125
13.2,0.010000073283807425,0.0011008034283803494,0.0006468971931590739
13.25,0.010000069709713962,0.0011005359848993185,0.0006443629473306148
13.3,0.010000066309931095,0.0011002751790477271,0.0006418676137101299
13.35,0.010000063075957593,0.0011000208452629269,0.0006394105163651163
13.4,0.010000059999706842,0.0010997728221519105,0.0006369909928408253
13.45,0.010000057073486609,0.0010995309523843717,0.0006346083938556996
13.5,0.010000054289979821,0.0010992950825885945,0.0006322620830043956
13.55,0.010000051642226261,0.0010990650632501054,0.0006299514364681855
13.6,0.010000049123605166,0.0010988407486129976,0.000627675842732541
13.65,0.010000046727818672,0.0010986219965838625,0.0006254347023117103
13.7,0.010000044448876063,0.0010984086686382536,0.0006232274274800998
